t,min_entry,basis,n,t_star
-0.844578313253012,-0.04800038233462767,Cycle,12,-0.5358983848622454
-0.838152610441767,-0.04700117194438165,Cycle,12,-0.5358983848622454
-0.831726907630522,-0.04600196155413563,Cycle,12,-0.5358983848622454
-0.825301204819277,-0.04500275116388961,Cycle,12,-0.5358983848622454
-0.818875502008032,-0.044003540773643574,Cycle,12,-0.5358983848622454
-0.8124497991967872,-0.04300433038339758,Cycle,12,-0.5358983848622454
-0.8060240963855422,-0.04200511999315156,Cycle,12,-0.5358983848622454
-0.7995983935742972,-0.041005909602905545,Cycle,12,-0.5358983848622454
-0.7931726907630522,-0.04000669921265953,Cycle,12,-0.5358983848622454
-0.7867469879518072,-0.039007488822413505,Cycle,12,-0.5358983848622454
-0.7803212851405622,-0.03800827843216747,Cycle,12,-0.5358983848622454
-0.7738955823293172,-0.03700906804192145,Cycle,12,-0.5358983848622454
-0.7674698795180722,-0.036009857651675435,Cycle,12,-0.5358983848622454
-0.7610441767068272,-0.03501064726142942,Cycle,12,-0.5358983848622454
-0.7546184738955823,-0.03401143687118342,Cycle,12,-0.5358983848622454
-0.7481927710843373,-0.03301222648093741,Cycle,12,-0.5358983848622454
-0.7417670682730924,-0.03201301609069136,Cycle,12,-0.5358983848622454
-0.7353413654618474,-0.03101380570044535,Cycle,12,-0.5358983848622454
-0.7289156626506024,-0.03001459531019933,Cycle,12,-0.5358983848622454
-0.7224899598393574,-0.029015384919953313,Cycle,12,-0.5358983848622454
-0.7160642570281124,-0.028016174529707297,Cycle,12,-0.5358983848622454
-0.7096385542168674,-0.02701696413946128,Cycle,12,-0.5358983848622454
-0.7032128514056225,-0.02601775374921526,Cycle,12,-0.5358983848622454
-0.6967871485943775,-0.025018543358969244,Cycle,12,-0.5358983848622454
-0.6903614457831325,-0.024019332968723228,Cycle,12,-0.5358983848622454
-0.6839357429718875,-0.02302012257847721,Cycle,12,-0.5358983848622454
-0.6775100401606425,-0.02202091218823119,Cycle,12,-0.5358983848622454
-0.6710843373493975,-0.021021701797985175,Cycle,12,-0.5358983848622454
-0.6646586345381525,-0.02002249140773916,Cycle,12,-0.5358983848622454
-0.6582329317269076,-0.019023281017493118,Cycle,12,-0.5358983848622454
-0.6518072289156626,-0.0180240706272471,Cycle,12,-0.5358983848622454
-0.6453815261044177,-0.017024860237001106,Cycle,12,-0.5358983848622454
-0.6389558232931727,-0.01602564984675509,Cycle,12,-0.5358983848622454
-0.6325301204819277,-0.01502643945650906,Cycle,12,-0.5358983848622454
-0.6261044176706827,-0.014027229066263042,Cycle,12,-0.5358983848622454
-0.6196787148594377,-0.013028018676017026,Cycle,12,-0.5358983848622454
-0.6132530120481927,-0.012028808285770997,Cycle,12,-0.5358983848622454
-0.6068273092369477,-0.01102959789552498,Cycle,12,-0.5358983848622454
-0.6004016064257027,-0.010030387505278963,Cycle,12,-0.5358983848622454
-0.5939759036144578,-0.009031177115032957,Cycle,12,-0.5358983848622454
-0.5875502008032129,-0.008031966724786939,Cycle,12,-0.5358983848622454
-0.5811244979919679,-0.007032756334540921,Cycle,12,-0.5358983848622454
-0.5746987951807229,-0.0060335459442948935,Cycle,12,-0.5358983848622454
-0.5682730923694779,-0.005034335554048876,Cycle,12,-0.5358983848622454
-0.5618473895582329,-0.004035125163802859,Cycle,12,-0.5358983848622454
-0.5554216867469879,-0.003035914773556841,Cycle,12,-0.5358983848622454
-0.5489959839357429,-0.002036704383310813,Cycle,12,-0.5358983848622454
-0.5425702811244979,-0.0010374939930647956,Cycle,12,-0.5358983848622454
