n,basis,trace_sum,rate,ci_lower,ci_upper,trials
12,Cycle,0.4671628396275505,1.0,0.996173241514445,1.0,1000
12,Cycle,0.47328528860714236,1.0,0.996173241514445,1.0,1000
12,Cycle,0.47940773758673416,1.0,0.996173241514445,1.0,1000
12,Cycle,0.485530186566326,1.0,0.996173241514445,1.0,1000
12,Cycle,0.49165263554591787,1.0,0.996173241514445,1.0,1000
12,Cycle,0.49777508452550967,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5038975335051016,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5100199824846934,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5161424314642852,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5222648804438771,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5283873294234689,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5345097784030608,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5406322273826526,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5467546763622444,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5528771253418363,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5589995743214281,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5651220233010199,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5712444722806118,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5773669212602036,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5834893702397954,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5896118192193873,1.0,0.996173241514445,1.0,1000
12,Cycle,0.5957342681989791,1.0,0.996173241514445,1.0,1000
12,Cycle,0.6018567171785709,1.0,0.996173241514445,1.0,1000
12,Cycle,0.6079791661581628,1.0,0.996173241514445,1.0,1000
12,Cycle,0.6141016151377546,1.0,0.996173241514445,1.0,1000
12,Phase,0.3141016151377546,0.972,0.9598298168024069,0.9805577231872291,1000
12,Phase,0.32022406411734644,0.976,0.9645370943883885,0.9838198315333629,1000
12,Phase,0.32634651309693824,0.977,0.9657235493377733,0.9846257230670071,1000
12,Phase,0.3324689620765301,0.983,0.9729440411597701,0.9893593101431837,1000
12,Phase,0.33859141105612195,0.983,0.9729440411597701,0.9893593101431837,1000
12,Phase,0.34471386003571375,0.99,0.9816905311296853,0.9945592455544707,1000
12,Phase,0.3508363090153056,0.991,0.982984183834662,0.9952579393325229,1000
12,Phase,0.35695875799489746,0.991,0.982984183834662,0.9952579393325229,1000
12,Phase,0.3630812069744893,0.997,0.9912169859464969,0.9989792161188614,1000
12,Phase,0.3692036559540811,0.997,0.9912169859464969,0.9989792161188614,1000
12,Phase,0.37532610493367297,1.0,0.996173241514445,1.0,1000
